ID,OXACILINA,AMIKACINA,AMOXI/CLAV,CIPROFLOXACINO,CLINDAMICINA,ERITROMICINA,LEVOFLOXACINO,PENICILINA,TOBRAMICINA
3383,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.5714285714285714,0.0
2048,0.0,0.5,0.5,0.75,0.25,0.75,0.5,1.0,0.5
4534,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.8571428571428571,0.0
2720,1.0,0.0,1.0,0.0,0.5,0.5,0.25,1.0,0.5
4686,0.0,0.5,0.25,0.25,0.0,0.0,0.25,1.0,0.5
2010,0.0,0.0,0.5,0.5,0.0,0.25,0.5,1.0,0.25
3696,0.0,0.0,0.0,0.25,0.0,0.0,0.5,1.0,0.0
798,1.0,0.75,0.75,0.75,0.0,0.5,0.75,1.0,0.75
4025,1.0,0.5,0.5,0.5,0.0,0.0,0.75,1.0,0.5
4587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3543,1.0,0.5,0.5,0.5,0.0,0.5,0.5,1.0,0.5
1958,1.0,0.75,1.0,1.0,0.0,1.0,1.0,1.0,0.75
1154,1.0,0.25,0.5,0.25,0.0,0.0,0.25,0.7142857142857143,0.25
2079,1.0,0.5,0.75,0.75,0.0,0.5,0.75,1.0,0.5
1828,0.0,0.5,0.75,0.5,0.25,0.75,0.5,1.0,0.5
2866,1.0,0.75,0.5,0.5,0.25,0.5,0.5,1.0,0.75
223,1.0,0.25,0.5,0.25,0.25,0.25,0.25,0.8571428571428571,0.25
2803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1980,0.0,0.25,0.25,0.25,0.0,0.25,0.25,1.0,0.25
1902,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.8571428571428571,0.0
1807,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2273,0.0,0.75,0.5,0.5,0.0,0.25,0.5,1.0,0.75
703,1.0,0.75,0.75,0.75,0.0,0.5,0.75,1.0,0.75
330,0.0,0.0,0.0,0.0,0.75,0.75,0.0,1.0,0.0
225,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.7142857142857143,0.25
413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1952,1.0,1.0,1.0,1.0,0.25,0.5,1.0,0.8571428571428571,1.0
3702,1.0,0.75,0.75,0.75,0.0,0.5,0.75,1.0,0.75
788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0
1253,1.0,0.75,0.75,0.75,0.0,0.75,0.75,1.0,0.75
2491,0.0,0.75,0.75,0.75,0.0,0.5,0.75,1.0,0.75
1954,0.0,0.0,0.25,0.75,0.0,0.5,0.75,0.8571428571428571,0.0
591,1.0,0.0,0.25,0.25,0.0,0.25,0.25,1.0,0.25
579,1.0,0.0,1.0,1.0,0.75,0.75,1.0,1.0,0.0
1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0
1873,1.0,0.75,0.75,0.75,0.0,0.75,0.75,1.0,0.75
988,1.0,0.75,1.0,1.0,0.5,0.75,1.0,1.0,0.75
3377,1.0,0.75,0.75,0.75,0.25,0.75,0.75,1.0,0.75
2019,0.0,0.25,0.75,0.25,0.25,0.5,0.25,0.8571428571428571,0.25
124,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.5714285714285714,0.0
984,1.0,1.0,0.75,0.75,0.25,0.5,0.75,1.0,1.0
3964,0.0,0.0,0.5,0.25,0.0,0.0,0.0,1.0,0.0
3199,1.0,0.25,0.5,0.5,0.0,0.25,0.5,0.7142857142857143,0.25
776,0.0,0.25,0.25,0.25,0.0,0.0,0.0,1.0,0.0
1993,1.0,0.5,0.75,0.5,0.0,0.25,0.5,1.0,0.5
270,1.0,0.0,0.75,0.5,0.0,0.5,0.5,1.0,0.0
638,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.8571428571428571,0.25
2649,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.8571428571428571,0.0
3213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
903,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0
4210,0.0,0.0,0.25,0.0,0.25,0.25,0.0,1.0,0.0
2235,0.0,0.25,0.25,0.0,0.0,1.0,0.0,0.8571428571428571,0.25
2761,0.0,0.0,0.5,0.5,0.0,0.25,0.5,0.8571428571428571,0.25
2609,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.8571428571428571,0.25
1278,1.0,0.0,0.75,0.75,0.0,0.0,0.75,1.0,0.0
1081,1.0,0.75,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2020,1.0,0.5,0.5,0.25,0.0,0.25,0.25,1.0,0.5
2322,0.0,0.5,0.25,0.25,0.0,0.0,0.25,1.0,0.5
1465,0.0,0.25,0.0,0.0,0.75,0.75,0.0,0.8571428571428571,0.25
4794,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0
2301,1.0,0.25,0.25,0.75,0.75,0.75,0.0,1.0,0.25
2192,1.0,0.0,0.25,0.0,0.75,0.75,0.0,0.8571428571428571,0.0
1811,1.0,0.75,0.75,0.75,0.25,0.5,0.75,1.0,0.75
2329,0.0,0.25,0.25,0.25,0.0,0.25,0.25,1.0,0.25
1874,1.0,0.5,1.0,0.75,0.0,0.5,0.5,1.0,0.5
448,0.0,0.75,0.75,0.75,0.0,0.5,0.75,1.0,0.75
388,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
597,1.0,0.5,0.75,0.75,0.0,0.75,0.75,1.0,0.75
1851,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.8571428571428571,0.0
2621,1.0,0.0,0.25,0.0,0.5,0.5,0.0,1.0,0.0
3423,0.0,0.25,0.25,0.25,0.0,0.0,0.75,1.0,0.25
4617,0.0,0.25,0.25,0.0,0.0,1.0,0.0,1.0,0.25
1998,0.0,0.0,0.25,0.25,0.0,0.25,0.5,1.0,0.0
1673,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.8571428571428571,0.25
578,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.5
1299,1.0,0.5,0.75,0.5,0.0,0.25,0.5,1.0,0.5
2284,0.0,0.75,0.75,0.75,0.0,0.5,0.75,0.8571428571428571,0.75
1324,1.0,0.25,0.25,0.0,0.0,1.0,0.0,1.0,0.25
3906,1.0,0.0,0.75,0.5,0.5,0.5,0.25,0.8571428571428571,0.0
3843,0.0,0.0,0.0,0.25,0.5,0.5,0.0,0.7142857142857143,0.0
2580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0
3824,0.0,0.5,0.25,0.25,0.0,0.0,0.25,1.0,0.5
1729,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.5714285714285714,0.0
297,1.0,0.25,0.5,0.5,0.75,0.75,0.5,0.8571428571428571,0.25
4728,1.0,0.25,0.75,0.25,0.25,0.5,0.25,1.0,0.25
483,0.0,0.75,0.0,0.0,0.25,0.25,0.0,1.0,0.75
4626,0.0,0.25,0.25,0.0,0.0,1.0,0.0,1.0,0.25
2509,1.0,0.25,0.75,0.25,0.0,0.5,0.25,1.0,0.25
1774,1.0,0.0,0.25,0.25,0.25,0.25,0.25,0.8571428571428571,0.0
2427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4010,0.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,0.5
2731,0.0,0.25,0.25,0.25,0.0,0.25,0.25,1.0,0.25
1925,0.0,0.25,0.5,0.25,0.25,0.5,0.25,1.0,0.25
2177,0.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,0.5
1919,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8571428571428571,0.0
1678,1.0,0.75,0.75,0.75,0.25,0.75,0.75,0.5714285714285714,0.75
1254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0
1877,1.0,0.0,0.75,0.5,0.5,0.5,0.5,1.0,0.0
